Name,Platform,Year_of_Release,Type_of_Game,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Halo Wars,X360,2009,Strategy,Microsoft Game Studios,1.54,0.8,0.04,2.62,82,92,7.2,454,Ensemble Studios,Below Average
Medal of Honor,X360,2010,Shooter,Electronic Arts,1.56,0.8,0.04,2.61,74,71,6.7,288,"Dice, Danger Close",Good
Resistance 2,PS3,2008,Shooter,Sony Computer Entertainment,1.15,0.84,0.1,2.46,87,79,6.1,1889,Insomniac Games,Good
Tom Clancy's Rainbow Six: Vegas 2,X360,2008,Shooter,Ubisoft,1.56,0.6,0.02,2.42,82,66,7.8,176,Ubisoft Montreal,Good
Halo: Combat Evolved Anniversary,X360,2011,Shooter,Microsoft Game Studios,1.44,0.7,0.04,2.4,82,73,8.1,487,343 Industries,Good
Guitar Hero,PS2,2005,Misc,RedOctane,1.67,0.61,0.03,2.38,91,65,8.7,173,Harmonix Music Systems,Below Average
Half-Life 2,PC,2004,Shooter,Vivendi Games,2.28,0.02,0.08,2.37,96,81,9.1,8665,Valve Software,Good
Kinect: Disneyland Adventures,X360,2011,Misc,Microsoft Game Studios,1.73,0.43,0.02,2.35,73,33,2.9,67,Frontier Developments,Excelent
James Bond 007: Everything or Nothing,PS2,2004,Shooter,Electronic Arts,0.85,1.06,0.09,2.31,84,42,9.1,51,EA Redwood Shores,Below Average
The Sims 3,X360,2010,Simulation,Electronic Arts,1.27,0.81,0,2.28,76,42,7.1,71,The Sims Studio,Below Average
Sonic's Ultimate Genesis Collection,PS3,2009,Misc,Sega,1.34,0.6,0,2.26,80,35,8.6,43,Backbone Entertainment,Excelent
Guitar Hero III: Legends of Rock,PS3,2007,Misc,Activision,1.4,0.53,0.02,2.24,83,45,7.8,52,Neversoft Entertainment,Below Average
Dance Dance Revolution X2,PS2,2009,Simulation,Konami Digital Entertainment,1.09,0.85,0,2.23,,,tbd,,Konami,Excelent
Borderlands 2,PS3,2012,Shooter,Take-Two Interactive,1.05,0.72,0.1,2.23,91,25,8.2,858,Gearbox Software,Good
Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft,0.55,1.19,0.14,2.21,73,40,7.3,480,Ubisoft Montreal,Good
Guitar Hero II,X360,2007,Misc,Activision,2.01,0.02,0,2.2,92,55,8.1,220,Harmonix Music Systems,Below Average
Rock Band 2,X360,2008,Misc,Electronic Arts,1.78,0.24,0,2.2,92,69,8.3,156,Harmonix Music Systems,Below Average
BioShock 2,X360,2010,Shooter,Take-Two Interactive,1.45,0.54,0.02,2.2,88,93,8.2,573,2K Marin,Good
Overwatch,PS4,2016,Shooter,Activision,0.81,0.85,0.15,2.14,90,31,6.1,1358,Blizzard Entertainment,Below Average
Dance Dance Revolution Extreme,PS2,2004,Simulation,Konami Digital Entertainment,1.04,0.81,0,2.13,77,26,9,20,KCET,Average
Battlefield: Hardline,PS4,2015,Shooter,Electronic Arts,0.71,0.94,0.14,2.1,73,46,5,845,Visceral Games,Good
Borderlands,PS3,2009,Shooter,Take-Two Interactive,1.2,0.6,0,2.09,83,58,7.9,427,Gearbox Software,Good
Portal 2,X360,2011,Shooter,Valve Software,1.41,0.49,0.01,2.08,95,66,8.5,997,Valve Software,Excelent
SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006,Shooter,Sony Computer Entertainment,1.74,0.02,0,2.04,72,38,9,34,Zipper Interactive,Below Average
Dance Central 2,X360,2011,Misc,Microsoft Game Studios,1.45,0.41,0.01,2.04,86,56,8.2,63,Harmonix Music Systems,Below Average
Call of Duty 2,X360,2005,Shooter,Activision,1.82,0.04,0.01,2.03,89,65,8.1,307,Infinity Ward,Below Average
Just Dance 3,X360,2011,Misc,Ubisoft,1.47,0.39,0,2.02,70,34,7.7,17,Ubisoft,Excelent
Tom Clancy's Rainbow Six: Vegas,X360,2006,Shooter,Ubisoft,1.09,0.65,0.02,1.95,88,69,8.3,225,Ubisoft Montreal,Good
Resident Evil 6,X360,2012,Shooter,Capcom,1.12,0.6,0.07,1.95,67,71,5,1407,Capcom,Good
The Sims 3,PS3,2010,Simulation,Electronic Arts,0.73,0.89,0.02,1.94,78,39,6.4,55,The Sims Studio,Below Average
BioShock Infinite,X360,2013,Shooter,Take-Two Interactive,1.22,0.54,0.02,1.93,93,33,8.5,1647,Irrational Games,Good
Destiny: The Taken King,PS4,2015,Shooter,Activision,0.78,0.79,0.04,1.93,86,81,6,1079,Bungie,Below Average
Destiny,X360,2014,Shooter,Activision,1.31,0.43,0,1.92,,,4.7,504,Bungie,Below Average
Guitar Hero: World Tour,PS3,2008,Misc,Activision,1.1,0.55,0,1.92,84,43,7.5,80,Neversoft Entertainment,Below Average
LittleBigPlanet 3,PS4,2014,Platform,Sony Computer Entertainment,0.66,0.93,0.01,1.91,79,78,7.1,506,Sumo Digital,Average
Shrek 2,PS2,2004,Platform,Activision,1.12,0.69,0.03,1.86,71,32,8.5,24,"Luxoflux, Inc.",Average
Jak 3,PS2,2004,Platform,Sony Computer Entertainment,1.33,0.49,0,1.85,84,55,8.6,246,Naughty Dog,Below Average
Max Payne 3,PS3,2012,Shooter,Take-Two Interactive,0.59,0.89,0.06,1.85,87,31,7.8,790,Rockstar Studios,Good
The Orange Box,X360,2007,Shooter,Electronic Arts,1.09,0.53,0.02,1.82,96,54,8.9,797,Valve Software,Good
Sly 2: Band of Thieves,PS2,2004,Platform,Sony Computer Entertainment,0.88,0.69,0,1.81,88,64,9,178,Sucker Punch,Average
Guitar Hero: World Tour,PS2,2008,Misc,Activision,1,0.03,0,1.8,,,8,13,BudCat,Below Average
The SpongeBob SquarePants Movie,PS2,2004,Platform,THQ,1.06,0.54,0,1.76,75,5,9,54,Heavy Iron Studios,Average
The Urbz: Sims in the City,PS2,2004,Simulation,Electronic Arts,0.52,0.95,0,1.76,70,25,8.2,24,Maxis,Below Average
Star Wars: Battlefront,XB,2004,Shooter,Activision,1.24,0.45,0,1.75,80,55,9.1,57,Pandemic Studios,Below Average
Crackdown,X360,2007,Shooter,Microsoft Game Studios,1,0.53,0.03,1.75,83,75,8,340,Realtime Worlds,Good
Dance Dance Revolution X,PS2,2008,Simulation,Konami Digital Entertainment,0.85,0.66,0.01,1.75,55,6,6.2,6,Konami,Excelent
The Order: 1886,PS4,2015,Shooter,Sony Computer Entertainment,0.61,0.78,0.06,1.74,63,94,6.6,3172,"Ready at Dawn, SCE Santa Monica",Good
Knack,PS4,2013,Platform,Sony Computer Entertainment Europe,0.43,0.68,0.42,1.73,54,83,6.5,1074,SCE Japan Studio,Excelent
Call of Duty: Modern Warfare 3,PC,2011,Shooter,Activision,0.41,0.98,0,1.72,78,26,2.5,5664,"Infinity Ward, Sledgehammer Games",Good
Ace Combat 5: The Unsung War,PS2,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,1.71,84,57,9.1,81,Namco,Below Average
Portal 2,PS3,2011,Shooter,Valve,0.83,0.6,0.02,1.7,95,54,8.4,937,Valve Software,Excelent
The Sims 3: Late Night Expansion Pack,PC,2010,Simulation,Electronic Arts,0.59,0.87,0,1.7,74,17,5.3,77,The Sims Studio,Below Average
SOCOM 3: U.S. Navy SEALs,PS2,2005,Shooter,Sony Computer Entertainment,1.22,0.34,0.04,1.69,82,59,8.8,64,Zipper Interactive,Good
BioShock Infinite,PS3,2013,Shooter,Take-Two Interactive,0.72,0.65,0.04,1.69,94,27,8.5,1863,Irrational Games,Good
Sid Meier's Civilization V,PC,2010,Strategy,Take-Two Interactive,0.98,0.52,0,1.68,90,70,7.9,2280,Firaxis Games,Excelent
Star Wars: Battlefront II,XB,2005,Shooter,Activision,1.22,0.39,0,1.67,83,40,8.9,106,Pandemic Studios,Below Average
StarCraft II: Heart of the Swarm,PC,2013,Strategy,Activision,0.83,0.66,0,1.67,86,68,7.9,1346,Blizzard Entertainment,Below Average
Army of Two,X360,2008,Shooter,Electronic Arts,1.09,0.37,0.02,1.64,72,76,7.6,233,EA Montreal,Good
Max Payne 3,X360,2012,Shooter,Take-Two Interactive,0.86,0.62,0.01,1.62,86,80,7.8,869,Rockstar Studios,Good
Viva Pinata,X360,2006,Simulation,Microsoft Game Studios,0.45,0.95,0.02,1.62,84,65,8,131,Rare Ltd.,Average
Kinectimals,X360,2010,Simulation,Microsoft Game Studios,1.02,0.46,0,1.62,74,50,3.1,69,Frontier Developments,Average
Destiny,PS3,2014,Shooter,Activision,0.68,0.56,0.12,1.62,,,4.5,445,Bungie,Below Average
Rage,X360,2011,Shooter,Bethesda Softworks,0.82,0.6,0.03,1.6,81,77,6.7,559,id Software,Good
Sonic Generations,PS3,2011,Platform,Sega,0.6,0.69,0.02,1.58,76,38,8.2,253,Sega,Average
Gears of War: Judgment,X360,2013,Shooter,Microsoft Game Studios,0.92,0.5,0.03,1.57,79,81,5.4,779,Epic Games,Good
Wolfenstein: The New Order,PS4,2014,Shooter,Bethesda Softworks,0.47,0.8,0.03,1.55,79,73,8.1,1116,MachineGames,Good
BioShock 2,PS3,2010,Shooter,Take-Two Interactive,0.85,0.46,0.02,1.54,88,62,8.2,492,2K Marin,Good
Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006,Shooter,Ubisoft,1.4,0.02,0.02,1.54,90,78,8,215,Ubisoft Paris,Below Average
Call of Duty: Black Ops II,PC,2012,Shooter,Activision,0.64,0.69,0,1.53,74,11,4.2,1635,Treyarch,Good
Dead Space 2,X360,2011,Shooter,Electronic Arts,0.94,0.44,0,1.51,90,83,8.6,679,Visceral Games,Good
Call of Duty 3,PS3,2006,Shooter,Activision,0.6,0.62,0.03,1.5,80,43,6.9,92,Treyarch,Below Average
Rock Band 2,PS3,2008,Misc,MTV Games,1.13,0.2,0,1.49,91,24,7.9,88,Harmonix Music Systems,Below Average
Dirge of Cerberus: Final Fantasy VII,PS2,2006,Shooter,Square Enix,0.47,0.37,0.52,1.48,57,51,6.9,103,Square Enix,Below Average
Resistance 3,PS3,2011,Shooter,Sony Computer Entertainment,0.64,0.57,0.05,1.48,83,91,7.8,543,Insomniac Games,Good
Tom Clancy's Ghost Recon: Future Soldier,X360,2012,Shooter,Ubisoft,0.93,0.4,0.02,1.47,79,75,7.2,334,Ubisoft Paris,Good
Battlefield: Bad Company,X360,2008,Shooter,Electronic Arts,0.81,0.46,0.04,1.46,83,70,7.7,263,EA DICE,Below Average
Homefront,X360,2011,Shooter,THQ,0.83,0.48,0.02,1.45,70,85,6,399,Kaos Studios,Good
Red Dead Revolver,PS2,2004,Shooter,Take-Two Interactive,0.71,0.55,0,1.45,73,42,7.8,70,Rockstar San Diego,Good
SingStar Pop,PS2,2007,Misc,Sony Computer Entertainment,0.04,1.08,0,1.44,73,13,7.5,8,SCEE London Studio,Excelent
Anno 2070,PC,2011,Strategy,Ubisoft,0,1.13,0,1.43,83,33,7,493,"Blue Byte, Related Designs",Below Average
BioShock,PS3,2008,Shooter,Take-Two Interactive,0.75,0.46,0.01,1.42,94,51,8.7,881,"Digital Extremes, 2K Marin",Good
SimCity (2013),PC,2013,Simulation,Electronic Arts,0.48,0.77,0,1.42,64,75,2.2,4572,Maxis,Excelent
Dead Space 2,PS3,2011,Shooter,Electronic Arts,0.73,0.48,0,1.42,89,78,8.4,535,Visceral Games,Good
Sonic's Ultimate Genesis Collection,X360,2009,Misc,Sega,0.85,0.43,0,1.41,79,45,8.5,40,Backbone Entertainment,Excelent
Sonic Generations,X360,2011,Platform,Sega,0.71,0.53,0,1.38,77,49,8.3,340,"Sega, Sonic Team",Average
Deus Ex: Human Revolution,X360,2011,Shooter,Square Enix,0.76,0.47,0.02,1.37,89,70,8.3,684,Eidos Montreal,Good
Deus Ex: Human Revolution,PS3,2011,Shooter,Square Enix,0.5,0.59,0.07,1.37,89,50,8.2,682,Eidos Montreal,Good
Tom Clancy's Ghost Recon 2,XB,2004,Shooter,Ubisoft,0.86,0.45,0,1.36,80,53,8.9,58,Red Storm Entertainment,Below Average
Titanfall,X360,2014,Shooter,Electronic Arts,0.87,0.34,0.02,1.36,83,21,5.9,371,Bluepoint Games,Good
SingStar Abba,PS2,2008,Misc,Sony Computer Entertainment,0.23,0.04,0,1.36,64,11,tbd,,SCEE London Studio,Below Average
Battlefield 4,PC,2013,Shooter,Electronic Arts,0.39,0.87,0,1.35,81,52,6,3517,EA DICE,Good
Tom Clancy's Rainbow Six: Vegas 2,PS3,2008,Shooter,Ubisoft,0.66,0.44,0.04,1.34,81,32,7.9,93,Ubisoft Montreal,Good
Doom 3,XB,2005,Shooter,Activision,0.85,0.43,0,1.34,88,71,7.4,116,Vicarious Visions,Good
Lost Planet: Extreme Condition,X360,2006,Shooter,Capcom,1.09,0.04,0.1,1.34,79,76,7.1,187,Capcom,Below Average
Battlefield: Bad Company,PS3,2008,Shooter,Electronic Arts,0.76,0.35,0.05,1.34,84,50,8.1,203,EA DICE,Below Average
Skylanders SWAP Force,X360,2013,Platform,Activision,0.86,0.34,0,1.32,83,37,5.7,45,Vicarious Visions,Excelent
Rage,PS3,2011,Shooter,Bethesda Softworks,0.47,0.58,0.06,1.31,81,37,6.2,353,id Software,Good
Madagascar,PS2,2005,Platform,Activision,0.78,0.45,0,1.31,69,25,7.4,25,Toys for Bob,Excelent
The Beatles: Rock Band,X360,2009,Misc,MTV Games,0.97,0.23,0,1.3,89,76,8.6,127,Harmonix Music Systems,Below Average
SingStar '80s,PS2,2005,Misc,Sony Computer Entertainment,0.27,0.02,0,1.3,78,22,8.3,6,SCEA,Below Average
Far Cry 4,PS3,2014,Shooter,Ubisoft,0.34,0.68,0.08,1.29,,,7.3,113,Ubisoft Montreal,Good
Transformers,PS2,2004,Shooter,Atari,0.63,0.49,0,1.29,75,51,8.6,27,Melbourne House,Below Average
The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts,1.22,0.05,0,1.27,76,31,6.6,71,Maxis,Below Average
SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment,0.94,0.16,0.02,1.25,63,64,6.9,223,Slant Six,Good
Black,PS2,2006,Shooter,Electronic Arts,1.01,0.04,0.03,1.25,79,62,8.4,194,Criterion Games,Good
Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft,0.47,0.53,0.03,1.25,86,32,7.6,81,Ubisoft Montreal,Good
Ratchet: Deadlocked,PS2,2005,Shooter,Sony Computer Entertainment,0.85,0.03,0.22,1.24,81,51,8.9,155,Insomniac Games,Below Average
Guitar Hero: Aerosmith,X360,2008,Misc,Activision,1,0.13,0,1.23,70,59,6.7,48,Neversoft Entertainment,Below Average
Call of Duty: Finest Hour,XB,2004,Shooter,Activision,0.78,0.4,0,1.21,73,55,7.8,22,Spark Unlimited,Below Average
Medal of Honor: Airborne,PS3,2007,Shooter,Electronic Arts,0.25,0.69,0.03,1.21,75,16,7.6,39,Electronic Arts,Below Average
Just Dance 4,X360,2012,Misc,Ubisoft,0.9,0.19,0,1.18,77,23,7.7,36,Ubisoft,Excelent
Gun,PS2,2005,Shooter,Activision,0.98,0.04,0,1.17,77,43,8.7,70,Neversoft Entertainment,Good
Army of Two,PS3,2008,Shooter,Electronic Arts,0.74,0.26,0.02,1.17,74,43,7.3,118,EA Montreal,Good
Spore,PC,2008,Strategy,Electronic Arts,0.03,1.06,0,1.17,84,75,5.3,1711,Maxis,Excelent
Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004,Shooter,Ubisoft,0.57,0.44,0,1.16,70,31,6.3,24,Red Storm Entertainment,Below Average
Mirror's Edge,X360,2008,Platform,Electronic Arts,0.51,0.51,0.01,1.16,79,82,7.6,328,EA DICE,Below Average
Sonic the Hedgehog,PS3,2006,Platform,Sega,0.41,0.06,0.04,1.16,43,17,4.1,176,Sonic Team,Excelent
Sniper: Ghost Warrior,X360,2010,Shooter,City Interactive,0.54,0.5,0,1.16,45,39,5.8,89,City Interactive,Good
Worldwide Soccer Manager 2009,PC,2008,Simulation,Sega,0,1.14,0,1.15,83,29,8.1,30,Sports Interactive,Average
Bad Boys: Miami Takedown,PS2,2004,Shooter,Empire Interactive,0.56,0.44,0,1.15,43,5,3.4,13,Blitz Games,Good
Call of Duty 4: Modern Warfare,PC,2007,Shooter,Activision,0,1.12,0,1.15,92,40,8.5,2360,Infinity Ward,Good
Dance Dance Revolution Extreme 2,PS2,2005,Simulation,Konami Digital Entertainment,0.95,0.04,0,1.14,76,27,9,21,Konami Computer Entertainment Hawaii,Excelent
Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004,Shooter,Ubisoft,0.99,0.12,0,1.13,84,55,8.6,14,Ubisoft Montreal,Good
Mirror's Edge,PS3,2008,Platform,Electronic Arts,0.31,0.58,0.02,1.13,79,66,7.8,362,EA DICE,Below Average
Guitar Hero 5,X360,2009,Misc,Activision,0.65,0.37,0,1.13,85,69,6.8,108,Neversoft Entertainment,Below Average
Alien: Isolation,PS4,2014,Shooter,Sega,0.34,0.57,0.04,1.13,79,50,8.1,795,Creative Assembly,Good
SingStar,PS3,2007,Misc,Sony Computer Entertainment,0.45,0.56,0,1.13,82,48,5.9,15,SCEE London Studio,Below Average
Rocksmith,PS3,2011,Misc,Ubisoft,0.53,0.36,0.09,1.12,80,27,8.3,52,Ubisoft,Below Average
Call Of Duty 2: Big Red One,XB,2005,Shooter,Activision,0.66,0.4,0,1.12,78,46,5.1,27,Treyarch,Below Average
Rocksmith,X360,2011,Misc,Ubisoft,0.84,0.19,0.01,1.12,77,30,8.2,62,Ubisoft,Below Average
Guitar Hero 5,PS2,2009,Misc,Activision,0.28,0.3,0,1.12,71,4,2.6,10,BudCat,Below Average
Crackdown 2,X360,2010,Shooter,Microsoft Game Studios,0.63,0.36,0.02,1.12,70,91,6,202,Ruffian Games,Good
The Beatles: Rock Band,PS3,2009,Misc,MTV Games,0.67,0.29,0,1.12,88,60,8.7,59,Harmonix Music Systems,Below Average
